"Year","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"IND","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1279.86","1322.97","1412.14","1415.13","1529.78","1658.15","1701.06","1517.25","1513.99","1501.27","1542.11","1640.02","1627.63","1609.58","1688.68","1767.48","1627.83","1670.01","1665.49","1488.75","1402.43","1333.97","1592.13","1608.01","1588.1","1377.74","1397.93","1433.9","1273.23","1284.23","1372.37","1326.21","1376.41","1343","1508.11","1550.33","1534.36","1482.03","1244.02","1428.77","1311.77","1443.73","1554.6","1489.97","1405.31","1311.64","1572.68","1622.04","1485.51","1506.1","1633.66","1676.11","1702.72","1728.38","1705.81","1669.96","1660.52","1599.05","1359.16","1513.08","1557.83","1619.15","1473.95","1518.07"
"JAX","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1268.49","1480.51","1559.81","1606.61","1651.52","1501.2","1474.64","1441.36","1424.56","1475.41","1582.07","1564.51","1629.96","1441.58","1409.83","1459.19","1401.4","1270.82","1289.12","1282.36","1330.59","1320.48"
"KC","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1389.35","1359.24","1574.26","1467.86","1513.55","1530.9","1645.6","1624.96","1681.71","1775.36","1602.93","1621.3","1569.09","1532.06","1447.15","1405.5","1423.92","1342.65","1359.62","1454.29","1504.98","1541.9","1505.54","1487.87","1574.68","1478.67","1518.59","1441.92","1393.44","1513.77","1600.22","1602.27","1554.93","1611.14","1553.78","1643.91","1526.7","1656.43","1520.1","1543.41","1471.51","1460.15","1518.23","1576.05","1547.71","1619.61","1556.88","1357.06","1285.5","1347.67","1462.01","1467.42","1278.98","1502.67","1556.99","1679.11","1667.22"
"OAK","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1222.9","1187.22","1215.21","1505.16","1451.03","1532.55","1546.66","1707.59","1728.44","1705.66","1591.27","1565.31","1625.68","1636.02","1687.11","1667.62","1767.11","1706.68","1562.16","1566.97","1717.2","1481.48","1622.25","1728.68","1650.91","1643.77","1514.13","1462.06","1442.74","1499.58","1603.94","1530.5","1495.56","1521.13","1529.53","1462.77","1520.43","1400.87","1427.19","1541.58","1640.24","1599.67","1668.62","1403.08","1353.31","1348.45","1273.87","1340.45","1388.68","1322.39","1506.94","1466.13","1349.73","1303.57","1330.28","1429.84","1542.28"
"DEN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1192.05","1210.66","1365.12","1277.54","1263.19","1321.54","1325.37","1331.25","1360.73","1402.6","1415.49","1411.88","1441.03","1539.72","1512.22","1457.59","1551.26","1697.45","1616.18","1572.98","1529.19","1554.58","1406.12","1458.16","1628.64","1624.78","1612.78","1616.58","1529.49","1603.2","1465.88","1608.43","1499","1532.93","1497.23","1498.3","1609.6","1729.03","1780.79","1564.82","1581.77","1497.59","1544.03","1564.3","1578.16","1689.19","1585.36","1471.13","1424.37","1449.07","1327.45","1447.8","1660.86","1683.63","1640.49","1703.17","1580.8"
"SD","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1365.04","1476.54","1320.13","1589.3","1517.34","1561.48","1503.01","1463.48","1527.63","1530.59","1551.08","1471.9","1421.14","1308.62","1389.98","1341.98","1430.99","1512.63","1573.84","1661.01","1605.46","1598.56","1611.69","1466.3","1481","1521.52","1446.19","1426.57","1429.08","1464.09","1461.57","1426.43","1586.32","1559.01","1594.9","1530.33","1487.33","1348.59","1330.04","1453.64","1290.52","1359.27","1426.67","1369.87","1594.36","1616.73","1716.81","1688.15","1599.37","1668.67","1574.6","1558.32","1483.6","1587.31","1531.29","1405.16","1403.07"
"DAL","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1206.59","1259.39","1405.77","1384.9","1430.51","1497.49","1586.81","1565.67","1650.66","1627.66","1659.29","1744.31","1622.82","1655.77","1613.54","1689.47","1621.97","1752.74","1745.84","1611.45","1662.53","1662.19","1629.3","1613.29","1544.77","1530.18","1482.19","1469.32","1372.75","1270.86","1401.84","1588.7","1784.42","1788.13","1704.52","1728.88","1614.41","1455.87","1511.33","1510.71","1422.16","1386.46","1361.49","1488.23","1403.52","1474.57","1483.84","1602.22","1551.83","1636.19","1511.91","1472.79","1478.76","1499.06","1632.4","1416.48","1601.71"
"NYG","-","-","-","-","-","1456.07","1535.47","1693.2","1476.19","1698.29","1697.56","1618.47","1514.87","1622.53","1621.7","1611.21","1497.5","1548.85","1628.42","1626.62","1547.9","1556.38","1519.57","1541.98","1615.81","1492.41","1531.75","1388.87","1396.84","1440.08","1601.16","1664.82","1545.7","1445.83","1546.17","1574.94","1628.12","1532.09","1591.12","1623.68","1530.28","1628.04","1670.76","1665.98","1357.65","1434.79","1238.9","1409","1439.78","1460.18","1540.78","1367.17","1549.34","1394.81","1316.4","1372.8","1382.94","1402.4","1401.29","1382.3","1336.07","1526.84","1513.67","1406.75","1522.51","1618.42","1786.54","1558.48","1549.87","1601.33","1699.72","1557.92","1470.81","1586.2","1555.76","1455.71","1440.43","1562.89","1526.63","1437.28","1599.41","1476","1564.32","1345.03","1399.76","1531.74","1488.59","1627.01","1631.13","1497.13","1554.51","1660.95","1598.92","1489.92","1466.79","1450.82","1543.15"
"WSH","-","-","-","-","-","-","-","-","-","-","-","-","1379.41","1464.78","1475.87","1391.82","1497.86","1607.3","1542.41","1623.64","1589.67","1529.22","1672.62","1612.12","1523.48","1586.5","1504.2","1426.75","1494.02","1429.17","1403.07","1431.13","1447.19","1501.98","1366.26","1506.6","1476.02","1532.05","1453.43","1339.08","1297.48","1256.47","1335.61","1298.04","1448.8","1447.36","1474.32","1437.7","1387.99","1480.8","1473.57","1568.59","1664.32","1621.79","1638.73","1531.66","1596.29","1572.99","1451.55","1564.06","1493.49","1514.81","1688.9","1752.44","1628.11","1592.61","1679.46","1728.99","1502.98","1587.05","1618.36","1775.92","1642.05","1439.16","1369.54","1434.34","1530.24","1520","1462.92","1554.39","1512.74","1524.72","1461.67","1400.93","1436.04","1578.1","1420.76","1545.33","1490.05","1393.25","1401.52","1377.88","1530.13","1346.72","1304.68","1491.92","1504.19"
"PHI","-","-","-","-","-","-","-","-","-","-","-","-","-","1321.67","1411.23","1335.74","1245.81","1305.68","1437.89","1354.79","1300.57","1321.41","1325.39","-","1591.16","1605.82","1541.24","1582.54","1651.54","1758.97","1624.93","1491.23","1516.18","1588.83","1568.66","1515.06","1408.94","1413.24","1353.69","1471.44","1614.6","1609.2","1418.76","1325.5","1416.07","1430.48","1517.75","1447.28","1345.13","1344.25","1345.45","1479.36","1305.76","1377.46","1492.62","1459.4","1381.62","1427.42","1521.93","1579.27","1653.89","1557.81","1502.7","1407.18","1433.78","1452.23","1469.69","1486.53","1571.21","1562.66","1583.78","1599.08","1670.39","1552.82","1473.16","1544.7","1533.69","1438.69","1298.95","1397.95","1566.71","1667.68","1653.9","1647.61","1633.47","1428.69","1561.59","1565.2","1653.03","1614.12","1575.1","1589.5","1348.05","1539.8","1564.48","1479.27","1514.15"
